label,question,sentence
1,Where did Beyonce become pregnant?,"In April 2011, Beyoncé and Jay Z traveled to Paris in order to shoot the album cover for her 4, and unexpectedly became pregnant in Paris."
0,Who was the previous overseer of the London interbank offered rate?,"Lower Manhattan is the third-largest central business district in the United States and is home to the New York Stock Exchange, on Wall Street, and the NASDAQ, at 165 Broadway, representing the world's largest and second largest stock exchanges, respectively, when measured both by overall average daily trading volume and by total market capitalization of their listed companies in 2013."
0,What action did The Sun take against Mahmood?,"At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that there were ""strong grounds"" to believe that Mahmood had lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa."
0,When was Ben Hagkol crucified?,"Although almost all ancient sources relating to crucifixion are literary, the 1968 archeological discovery just northeast of Jerusalem of the body of a crucified man dated to the 1st century provided good confirmatory evidence that crucifixions occurred during the Roman period roughly according to the manner in which the crucifixion of Jesus is described in the gospels."
0,Who developed the HDI?,"A country scores higher HDI when the life expectancy at birth is longer, the education period is longer, and the income per capita is higher."
1,When was Nanking captured?,"The Japanese continued to push the Chinese forces back, capturing the capital Nanking in December 1937 and committed which was known as Nanking Massacre."
1,Who wrote E.T.'s script?,"The film was written by E.T. screenwriter Melissa Mathison and is co-produced by Walt Disney Pictures, marking the first Disney-branded film to be directed by Spielberg."
1,What Marvel movie featured Star-Lord and Gamora?,"This clause has allowed Walt Disney World to have meet and greets, merchandise, attractions and more with other Marvel characters not associated with the characters at Islands of Adventures, such as Star-Lord and Gamora from Guardians of the Galaxy as well as Baymax and Hiro from Big Hero 6."
1,Where does the author state that the Roman Catholic Church received her facts and confirmations ?," In the aftermath of the definition of the dogma in 1854, this charge was repeated: Strange as it may appear, that the doctrine which the church of Rome has promulgated, with so much pomp and ceremony, 'for the destruction of all heresies, and the confirmation of the faith of her adherents', should have its origin in the Mohametan Bible; yet the testimony of such authorities as Gibbon, and Sale, and Forster, and Gagnier, and Maracci, leave no doubt as to the marvellous fact."""
1,What feelings should Cubist architecture evoke in viewer?,"In their theoretical rules, the Cubist architects expressed the requirement of dynamism, which would surmount the matter and calm contained in it, through a creative idea, so that the result would evoke feelings of dynamism and expressive plasticity in the viewer."
0,What is the photoelectric effect?,"The Nobel committee awarded the prize for his work on the photo-electric effect, rather than relativity, both because of a bias against purely theoretical physics not grounded in discovery or experiment, and dissent amongst its members as to the actual proof that relativity was real."
1,Where is the Four Seasons Town Center located?,"Other major malls throughout the state include Hanes Mall in Winston-Salem; Crabtree Valley Mall, North Hills Mall, and Triangle Town Center in Raleigh; Friendly Center and Four Seasons Town Centre in Greensboro; Oak Hollow Mall in High Point; Concord Mills in Concord; Valley Hills Mall in Hickory; and The Streets at Southpoint and Northgate Mall in Durham and Independence Mall in Wilmington, NC, and Tanger Outlets in Charlotte, Nags Head, Blowing Rock, and Mebane, NC."
0,"Who came up with the word ""ecology""?","The history of ecology in the 20th century is closely tied to that of environmentalism; the Gaia hypothesis, first formulated in the 1960s, and spreading in the 1970s, and more recently the scientific-religious movement of Deep Ecology have brought the two closer together."
1,"When was the famous mosaic ""The Beauty of Durres"" created?","Bronze age pebble mosaics have been found at Tiryns; mosaics of the 4th century BC are found in the Macedonian palace-city of Aegae, and the 4th-century BC mosaic of The Beauty of Durrës discovered in Durrës, Albania in 1916, is an early figural example; the Greek figural style was mostly formed in the 3rd century BC."
1,How did George H. W. Bush describe Yale's reputation?,"When challenged on the distinction between Dukakis's Harvard connection and his own Yale background, he said that, unlike Harvard, Yale's reputation was ""so diffuse, there isn't a symbol, I don't think, in the Yale situation, any symbolism in it"" and said Yale did not share Harvard's reputation for ""liberalism and elitism""."
0,Who developed the ISA?,"How should one describe the identity of another, in ways which encompass both their idiosyncratic qualities and their group memberships or identifications, both of which can shift according to circumstance?"
0,What was the topic of Von Neuman's thesis?,"This was not something that von Neumann had much knowledge of, so it was arranged for him to take a two-year non-degree course in chemistry at the University of Berlin, after which he sat the entrance exam to the prestigious ETH Zurich, which he passed in September 1923."
0,Who was Jan Potocki?,"Portions of the original French-language manuscript were subsequently lost; however, the missing fragments survived in a Polish translation that was made by Edmund Chojecki in 1847 from a complete French copy, now lost."
1,What country allied with Prussia?,"Because of Prussia's alliance with Britain, Austria formed an alliance with France, seeing an opportunity to recapture Silesia, which had been lost in a previous war."
1,Where do western sandpiper Calidris migrate from?,"Many species, such as dunlin Calidris alpina and western sandpiper Calidris mauri, undertake long movements from their Arctic breeding grounds to warmer locations in the same hemisphere, but others such as semipalmated sandpiper C. pusilla travel longer distances to the tropics in the Southern Hemisphere."
1,What plateau is Oklahoma near?,"Oklahoma is between the Great Plains and the Ozark Plateau in the Gulf of Mexico watershed, generally sloping from the high plains of its western boundary to the low wetlands of its southeastern boundary."
0,Who discovered Mevastatin?,"Animal trials showed very good inhibitory effect as in clinical trials, however a long term study in dogs found toxic effects at higher doses and as a result mevastatin was believed to be too toxic for human use."
0,What politician did Nasser admire?,"He was especially influenced by Egyptian writer Tawfiq al-Hakim's novel Return of the Spirit, in which al-Hakim wrote that the Egyptian people were only in need of a ""man in whom all their feelings and desires will be represented, and who will be for them a symbol of their objective""."
1,How much did Barcelona pay for Luis Saurez?,"Following Enrique's arrival, Barcelona broke their transfer record when they paid Liverpool F.C. between €81 to €94 million for striker Luis Suárez, who was serving a four-month ban from all football-related activity imposed by the FIFA Disciplinary Committee after biting Italian defender Giorgio Chiellini during his appearance for Uruguay in a World Cup group stage match."
0,Who is commissioner of the Arena Football League?,"On February 3, 2016, it was announced that the franchise will start from scratch and no longer be called the ""Thunder"" as the name and trademarks belong to former franchise owner Terry Emmert (similar to the Jerry Jones move with the Desperados)."
1,What is a proctodaeum?,"In the hindgut (element 16 in numbered diagram), or proctodaeum, undigested food particles are joined by uric acid to form fecal pellets."
0,Who was the viceregal Sakya regime overthrown by?,"Wylie asserts that this type of censorship of the History of Ming distorts the true picture of the history of Sino-Tibetan relations, while the Ming court granted titles to various lamas regardless of their sectarian affiliations in an ongoing civil war in Tibet between competing Buddhist factions."
1,How many households were the offices of Wanhu in charge of?,"The official posts that the Ming court established in Tibet, such as senior and junior commanders, offices of Qianhu (in charge of 1,000 households), and offices of Wanhu (in charge of 10,000 households), were all hereditary positions according to Chen, but he asserts that ""the succession of some important posts still had to be approved by the emperor,"" while old imperial mandates had to be returned to the Ming court for renewal."
1,Describe Gaddafi's early childhood.,"Muammar Gaddafi was born in a tent near Qasr Abu Hadi, a rural area outside the town of Sirte in the deserts of western Libya."
0,Who reorganised London's defences?,"From 1940 to 1941, the most successful night-fighter was the Boulton Paul Defiant; its four squadrons shot down more enemy aircraft than any other type."
1,General Robert E. Lee controlled what sect of the confederacy?,"Its soldiers, especially those in the East under the command of General Robert E. Lee proved highly resourceful until they finally were overwhelmed by Generals Ulysses S. Grant and William T. Sherman in 1864–65, The Reconstruction Era (1863–77) began with the Emancipation proclamation in 1863, and included freedom, full citizenship and the vote for the Southern blacks."
0,To whom was Eclogue 4 addressed to?,"While some readers have identified the poet himself with various characters and their vicissitudes, whether gratitude by an old rustic to a new god (Ecl. 1), frustrated love by a rustic singer for a distant boy (his master's pet, Ecl. 2), or a master singer's claim to have composed several eclogues (Ecl. 5), modern scholars largely reject such efforts to garner biographical details from works of fiction, preferring to interpret an author's characters and themes as illustrations of contemporary life and thought."
0,"In what year did Baden, Württemberg-Baden, and Württemberg-Hohenzollern merge?","German reunification in 1990, in which the German Democratic Republic (East Germany) ascended into the Federal Republic, resulted in the addition of the re-established eastern states of Brandenburg, Mecklenburg-West Pomerania (in German Mecklenburg-Vorpommern), Saxony (Sachsen), Saxony-Anhalt (Sachsen-Anhalt), and Thuringia (Thüringen), as well as the reunification of West and East Berlin into Berlin and its establishment as a full and equal state."
0,Who attempted to assassinate Napoleon?,"Victoria and Albert attended the opening of a new basin at the French military port of Cherbourg on 5 August 1858, in an attempt by Napoleon III to reassure Britain that his military preparations were directed elsewhere."
1,Which Queen member retired in 1997?,"In January 1997, Queen performed ""The Show Must Go On"" live with Elton John and the Béjart Ballet in Paris on a night Mercury was remembered, and it marked the last performance and public appearance of John Deacon, who chose to retire."
1,What did Plato study?,"Later, Plato analyzed political systems, abstracted their analysis from more literary- and history- oriented studies and applied an approach we would understand as closer to philosophy."
1,Which president signed the Act into law?,"The ESA was signed into law by President Richard Nixon on December 28, 1973, it was designed to protect critically imperiled species from extinction as a ""consequence of economic growth and development untempered by adequate concern and conservation."
1,Where is Mount Tangjia?,"The most precarious of these quake-lakes was the one located in the extremely difficult terrain at Mount Tangjia in Beichuan County, Sichuan, accessible only by foot or air; an Mi-26T heavy lift helicopter belonging to the China Flying Dragon Special Aviation Company was used to bring heavy earthmoving tractors to the affected location."
1,Where were native earthworms killed by glaciers?,"In the glaciated areas of North America, for example, almost all native earthworms are thought to have been killed by the glaciers and the worms currently found in those areas are all introduced from other areas, primarily from Europe, and, more recently, from Asia."
0,In what era were many works designed for basso continuo accompaniment?,"The performer and/or the conductor have a range of options for musical expression and interpretation of a scored piece, including the phrasing of melodies, the time taken during fermatas (held notes) or pauses, and the use (or choice not to use) of effects such as vibrato or glissando (these effects are possible on various stringed, brass and woodwind instruments and with the human voice)."
1,When was Toynbee's report put together?,"This figure, however, accounts for solely the first year of the Genocide and does not take into account those who died or were killed after the report was compiled on the 24th May 1916."
0,Who was the mayor that proclaimed independence from the German Empire for  Alsace-Lorraine?,"Although U.S. President Woodrow Wilson had insisted that the région was self-ruling by legal status, as its constitution had stated it was bound to the sole authority of the Kaiser and not to the German state, France tolerated no plebiscite, as granted by the League of Nations to some eastern German territories at this time, because Alsatians were considered by the French public as fellow Frenchmen liberated from German rule."
0,When was this deciding battle fought?,This provoked a war in the Northwest Territory in which the U.S. forces performed poorly; the Battle of the Wabash in 1791 was the most severe defeat ever suffered by the United States at the hands of American Indians.
0,Who makes party policy?,"The Liberal Party's organisation is dominated by the six state divisions, reflecting the party's original commitment to a federalised system of government (a commitment which was strongly maintained by all Liberal governments until 1983, but was to a large extent abandoned by the Howard Government, which showed strong centralising tendencies)."
0,What does REF stand for?,"In rankings produced by Times Higher Education based upon the REF results Imperial was ranked 2nd overall for GPA and 8th for ""research power"" (compared to 6th and 7th respectively in the equivalent rankings for the RAE 2008)."
1,How were the British-French hostilities concluded?,"The Anglo-French hostilities were ended in 1763 by the Treaty of Paris, which involved a complex series of land exchanges, the most important being France's cession to Spain of Louisiana, and to Great Britain the rest of New France except for the islands of St. Pierre and Miquelon."
0,Where was the first #G surface game played?,"This followed approval two years previously for their use in the qualifying rounds only - if a team with a 3G pitch progressed to the competition proper, they had to switch their tie to the ground of another eligible entrant with a natural grass pitch."
0,What year did Palmerston die?,"Victoria found Gladstone's demeanour far less appealing; he spoke to her, she is thought to have complained, as though she were ""a public meeting rather than a woman""."
1,What endosymbionts live in coral?,"Examples include diverse microbiomes, rhizobia, nitrogen-fixing bacteria that live in root nodules on legume roots; actinomycete nitrogen-fixing bacteria called Frankia, which live in alder tree root nodules; single-celled algae inside reef-building corals; and bacterial endosymbionts that provide essential nutrients to about 10%–15% of insects."
1,Bilingual computer processing uses what characters?,"Many traditional character encodings share a common problem in that they allow bilingual computer processing (usually using Latin characters and the local script), but not multilingual computer processing (computer processing of arbitrary scripts mixed with each other)."
1,What is the main example of a DC power source?,"Found in applications as diverse as industrial fans, blowers and pumps, machine tools, household appliances, power tools, and disk drives, electric motors can be powered by direct current (DC) sources, such as from batteries, motor vehicles or rectifiers, or by alternating current (AC) sources, such as from the power grid, inverters or generators."
1,Who was concerned with Russia  capturing Constantinople?,Britain was concerned about Russian activity and Sir John Burgoyne senior advisor to Lord Aberdeen urged that the Dardanelles should be occupied and throw up works of sufficient strength to block any Russian move to capture Constantinople and gain access to the Mediterranean Sea.
1,When did the Hayasa-Azzi rule?,"In the Bronze Age, several states flourished in the area of Greater Armenia, including the Hittite Empire (at the height of its power), Mitanni (South-Western historical Armenia), and Hayasa-Azzi (1600–1200 BC)."
1,How long did liquidation occur?,"The Intelligenzaktion, a plan to eliminate the Polish intelligentsia, Poland's 'leadership class', took place soon after the German invasion of Poland, lasting from fall of 1939 till spring of 1940."
1,Which group do humans belong too?,"The next three orders, depending on the biological classification scheme used, are the Primates including the humans; the Cetartiodactyla including the whales and the even-toed hoofed mammals; and the Carnivora, that is, cats, dogs, weasels, bears, seals, and their relatives."
1,"Feynman proposed a integral model in particle physics, what was it?","Richard Phillips Feynman (/ˈfaɪnmən/; May 11, 1918 – February 15, 1988) was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model."
0,How many wards make up Cork?,"While local government in Ireland has limited powers in comparison with other countries, the council has responsibility for planning, roads, sanitation, libraries, street lighting, parks, and a number of other important functions."
1,What was built during the modernization?,"While the initial focus was on developing modern hospitals, schools, factories and massive public works, perhaps the most long-lasting effects of the Porfirian modernization were creation of the Colonia Roma area and the development of Reforma Avenue."
1,Which kingdom acquired some Thuringian territory?,The 1815 Congress of Vienna confirmed these changes and the Thuringian states' inclusion in the German Confederation; the Kingdom of Prussia also acquired some Thuringian territory and administered it within the Province of Saxony.
1,"What is the modern term ""culture"" based on?","The modern term ""culture"" is based on a term used by the Ancient Roman orator Cicero in his Tusculanae Disputationes, where he wrote of a cultivation of the soul or ""cultura animi"", using an agricultural metaphor for the development of a philosophical soul, understood teleologically as the highest possible ideal for human development."
0,What do some agriculturalists often do?,"In the Brazilian rainforest, those groups that recently did, or even continue to, rely on hunting and gathering techniques seem to have adopted this lifestyle, abandoning most agriculture, as a way to escape colonial control and as a result of the introduction of European diseases reducing their populations to levels where agriculture became difficult.[citation needed][dubious – discuss]"
1,What did Jesus do before he was arrested?,"Combining statements in the canonical Gospels produces the following account: Jesus was arrested in Gethsemane following the Last Supper with the Twelve Apostles, and then stood trial before the Sanhedrin (a Jewish judicial body), Pontius Pilate (a Roman authority in Judaea), and Herod Antipas (king of Judea, appointed by Rome), before being handed over for crucifixion by the chief priests of the Jews."
1,Who amended the account at a later date?,"Modern biblical scholarship treats the account in the synoptic gospels as a literary creation by the author of the Mark Gospel, amended in the Luke and Matthew accounts, intended to heighten the importance of what they saw as a theologically significant event, and not intended to be taken literally."
1,How often does Seattle send to the National Poetry Slam?,"Seattle annually sends a team of spoken word slammers to the National Poetry Slam and considers itself home to such performance poets as Buddy Wakefield, two-time Individual World Poetry Slam Champ; Anis Mojgani, two-time National Poetry Slam Champ; and Danny Sherrard, 2007 National Poetry Slam Champ and 2008 Individual World Poetry Slam Champ."
1,What was the predicted time of the quake?,"Malaysia-based Yazhou Zhoukan conducted an interview with former researcher at the China Seismological Bureau Geng Qingguo (耿庆国), in which Geng claimed that a confidential written report was sent to the State Seismological Bureau on April 30, 2008, warning about the possible occurrence of a significant earthquake in Ngawa Prefecture region of Sichuan around May 8, with a range of 10 days before or after the quake."
1,Who made predictions in 1601?,"By the 12th century, they could reasonably accurately make predictions of eclipses, but the knowledge of this was lost during the Ming dynasty, so that the Jesuit Matteo Ricci gained much favour in 1601 by his predictions."
1,"What word literally mens ""ancestor?""","ə-POT-rə-PEE-əs; Ἀποτρόπαιος, Apotropaios, from ἀποτρέπειν, ""to avert""), and Epicurius (/ˌɛpᵻˈkjʊriəs/ EP-i-KEWR-ee-əs; Ἐπικούριος, Epikourios, from ἐπικουρέειν, ""to aid""), and Archegetes (/ɑːrˈkɛdʒətiːz/ ar-KEJ-ə-teez; Ἀρχηγέτης, Arkhēgetēs, literally ""founder""), Clarius (/ˈklæriəs/ KLARR-ee-əs; Κλάριος, Klārios, from Doric κλάρος, ""allotted lot""), and Genetor ("
1,Why are some foreign characters rarely used?,"Among the characters not originally intended for Unicode are rarely used Kanji or Chinese characters, many of which are part of personal and place names, making them rarely used, but much more essential than envisioned in the original architecture of Unicode."
0,WHen did the Piast dynasty appear?,"The Period of Division from, A.D., 1138 – A.D., 1314, which included nearly 200 years of feudal fragmentation and which stemmed from Bolesław III's division of Poland among his sons, was the genesis of the social structure which saw the economic elevation of the great landowning feudal nobles (możni/Magnates, both ecclesiastical and lay) from the rycerstwo they originated from."
1,What is chattista?,There is also a form of musical poetry known as chattista which is often performed at traditional feasts and celebrations.
0,What can pathogenes cause?,"A pathogenic cause for a known medical disease may only be discovered many years after, as was the case with Helicobacter pylori and peptic ulcer disease."
0,What is the Dharma?,"While in the West Buddhism is often seen as exotic and progressive, in the East it is regarded as familiar and traditional."
1,Which commissioner reads the formal closing statement to the assention ceremony?,"The Lords Reading Clerk reads the commission aloud; the senior commissioner then states, ""My Lords, in obedience to Her Majesty's Commands, and by virtue of the Commission which has been now read, We do declare and notify to you, the Lords Spiritual and Temporal and Commons in Parliament assembled, that Her Majesty has given Her Royal Assent to the several Acts in the Commission mentioned."""
1,When did mixed tag teams start?,"In the 1980s, mixed tag team matches began to take place, with a male and female on each team and a rule stating that each wrestler could only attack the opponent of the same gender."
1,What species are all humans?,"While some researchers sometimes use the concept of race to make distinctions among fuzzy sets of traits, others in the scientific community suggest that the idea of race often is used in a naive or simplistic way,[page needed] and argue that, among humans, race has no taxonomic significance by pointing out that all living humans belong to the same species, Homo sapiens, and subspecies, Homo sapiens sapiens."
1,In what time frame were these people enslaved?,"Historians estimate that between the advent of Islam in 650CE and the abolition of slavery in the Arabian Peninsula in the mid-20th century, 10 to 18 million sub-Saharan Black Africans were enslaved by Arab slave traders and transported to the Arabian Peninsula and neighboring countries."
1,How many natives speak German?,"Spoken by approximately 100 million native speakers, German is one of the world's major languages and the most widely spoken first language in the European Union."
1,What author claimed Schwarzenegger is power-obsessed?,"Wendy Leigh, who wrote an unofficial biography on Schwarzenegger, claims he plotted his political rise from an early age using the movie business and bodybuilding as building blocks to escape a depressing home."
0,Where is the Ptolemaic Kingdom?,The Hellenistic period was characterized by a new wave of Greek colonization (as distinguished from that occurring in the 8th–6th centuries BC) which established Greek cities and kingdoms in Asia and Africa.
0,What was Yeltsin president of?,"More radical reformists were increasingly convinced that a rapid transition to a market economy was required, even if the eventual outcome meant the disintegration of the Soviet Union into several independent states."
0,Who composed music for 'Munich'?,"Spielberg's film Munich, about the events following the 1972 Munich Massacre of Israeli athletes at the Olympic Games, was his second film essaying Jewish relations in the world (the first being Schindler's List)."
0,What is professional wrestling abbreviated as?,"Taking the form of live events held by touring promotions, it portrays a unique style of combat based on a combination of adopted styles, which include classical wrestling, catch wrestling and various forms of martial arts, as well as an innovative style based on grappling (holds/throws), striking, and aerialism."
1,UCS chargers will also include what?,"The Wireless Association, with the International Telecommunication Union (ITU) announcing on 22 October 2009 that it had also embraced the Universal Charging Solution as its ""energy-efficient one-charger-fits-all new mobile phone solution,"" and added: ""Based on the Micro-USB interface, UCS chargers will also include a 4-star or higher efficiency rating—up to three times more energy-efficient than an unrated charger."""
1,What is the most popular DBMS?,Database management systems are often classified according to the database model that they support; the most popular database systems since the 1980s have all supported the relational model as represented by the SQL language.[disputed – discuss]
1,What did Descartes believe about vacuums in nature?,"Although Descartes agreed with the contemporary position, that a vacuum does not occur in nature, the success of his namesake coordinate system and more implicitly, the spatial–corporeal component of his metaphysics would come to define the philosophically modern notion of empty space as a quantified extension of volume."
1,Who appoints the Chief of the Defence?,"The governor general appoints, on the advice of the prime minister, the Chief of the Defence Staff (CDS) as the highest ranking commissioned officer in the Armed Forces and who, as head of the Armed Forces Council, is in command of the Canadian Forces."
0,"In its preparations, what was the source of other considerations by the ECHR?","The ECHR also noted that at the time of its judgement, apart from courts in Germany which had taken a broad view, that there had been few cases of genocide under other Convention States municipal laws and that ""There are no reported cases in which the courts of these States have defined the type of group destruction the perpetrator must have intended in order to be found guilty of genocide""."
1,What English Heritage status does the Civic Centre possess?,"In 1962 the modernist high rise of the Civic Centre was constructed, an architecturally significant example of mid twentieth century civic slab-and-tower set piece allowed to fall into disrepair by its owner Plymouth City Council but recently grade II listed by English Heritage to prevent its demolition."
1,How was the public sphere defined?,"One of the primary elements of the culture of the Enlightenment was the rise of the public sphere, a ""realm of communication marked by new arenas of debate, more open and accessible forms of urban public space and sociability, and an explosion of print culture,"" in the late 17th century and 18th century."
1,During what decade did Melbourne suffer a sever economic depression?,"A brash boosterism that had typified Melbourne during this time ended in the early 1890s with a severe depression of the city's economy, sending the local finance and property industries into a period of chaos during which 16 small ""land banks"" and building societies collapsed, and 133 limited companies went into liquidation."
0,When is distortion most common on a gramophone record?,A further limitation of the gramophone record is that fidelity steadily declines as playback progresses; there is more vinyl per second available for fine reproduction of high frequencies at the large-diameter beginning of the groove than exist at the smaller-diameters close to the end of the side.
1,How many individually packaged transistors are produced each year?,"Although several companies each produce over a billion individually packaged (known as discrete) transistors every year, the vast majority of transistors are now produced in integrated circuits (often shortened to IC, microchips or simply chips), along with diodes, resistors, capacitors and other electronic components, to produce complete electronic circuits."
0,What does ischemia refer too?,"Levine's sign, in which a person localizes the chest pain by clenching their fists over their sternum, has classically been thought to be predictive of cardiac chest pain, although a prospective observational study showed it had a poor positive predictive value."
1,What is the Windows 8 Pro price?,"As part of a launch promotion, Microsoft offered Windows 8 Pro upgrades at a discounted price of US$39.99 online, or $69.99 for retail box from its launch until January 31, 2013; afterward the Windows 8 price has been $119.99 and the Pro price $199.99."
0,How did the Spanish conflict begin?,"The Spanish American wars of independence were the numerous wars against Spanish rule in Spanish America that took place during the early 19th century, from 1808 until 1829, directly related to the Napoleonic French invasion of Spain."
0,"Between 1500 and 1760, how many Europeans settled in Brazil?","This is not surprising, though: While the greatest number of slaves imported from Africa were sent to Brazil, totalizing roughly 3.5 million people, they lived in such miserable conditions that male African Y-DNA there is significantly rare due to the lack of resources and time involved with raising of children, so that most African descent originarily came from relations between white masters and female slaves."
1,What typeface does the current iPod use?,"In 2007, Apple modified the iPod interface again with the introduction of the sixth-generation iPod Classic and third-generation iPod Nano by changing the font to Helvetica and, in most cases, splitting the screen in half by displaying the menus on the left and album artwork, photos, or videos on the right (whichever was appropriate for the selected item)."
1,Who made William Adams a samurai?,"The Shogun Tokugawa Ieyasu presented him with two swords representing the authority of a samurai, and decreed that William Adams the sailor was dead and that Anjin Miura (三浦按針), a samurai, was born."
1,What language family did Thracian and Balto-Slavic belong to?,"It was in relative proximity to the other satem ethno-linguistic groups of the Indo-European family, like Thracian, Balto-Slavic and others, and to common Indo-European's original homeland (more precisely, the steppes of southern Russia to the north of the Caucasus), according to the reconstructed linguistic relationships of common Indo-European."
1,Nixon was a president of what country?,"Tito met many world leaders during his rule, such as Soviet rulers Joseph Stalin, Nikita Khrushchev and Leonid Brezhnev; Egypt's Gamal Abdel Nasser, Indian politicians Jawaharlal Nehru and Indira Gandhi; British Prime Ministers Winston Churchill, James Callaghan and Margaret Thatcher; U.S. Presidents Dwight D. Eisenhower, John F. Kennedy, Richard Nixon, Gerald Ford and Jimmy Carter; other political leaders, dignitaries and heads of state that Tito met at least once in his lifetime included Che Guevara, Fidel Castro, Yasser Arafat, Willy Brandt, Helmut Schmidt, Georges Pompidou, Queen Elizabeth II, Hua Guofeng, Kim Il Sung, Sukarno, Sheikh Mujibur Rahman, Suharto, Idi Amin, Haile Selassie, Kenneth Kaunda, Gaddafi, Erich Honecker, Nicolae Ceaușescu, János Kádár and Urho Kekkonen."
0,Why does genocide often go unpunished?,"By formally recognizing the act of genocide as a crime, involves the undergoing prosecution that begins with not only seeing genocide as outrageous past any moral standpoint but also may be a legal liability within international relations."
1,What was the state of Utrecht,"Utrecht remained an atypical city in the new republic with about 40% Catholic in the mid-17th century, and even more among the elite groups, who included many rural nobility and gentry with town houses there."
1,When did Alfonso XXII reach Valencia?,"The city surrendered on 7 August; Alfonso XII was proclaimed king on 29 December 1874, and arrived in Valencia on 11 January 1875 on his way to Madrid, marking the end of the first republic."
1,What is Estonia's highest mountain point?,"Estonia lies on the eastern shores of the Baltic Sea immediately across the Gulf of Finland from Finland on the level northwestern part of the rising East European platform between 57.3° and 59.5° N and 21.5° and 28.1° E. Average elevation reaches only 50 metres (164 ft) and the country's highest point is the Suur Munamägi in the southeast at 318 metres (1,043 ft)."
1,Where was Thomas R. Steels a member?,"In 1899, a Doncaster member of the Amalgamated Society of Railway Servants, Thomas R. Steels, proposed in his union branch that the Trade Union Congress call a special conference to bring together all left-wing organisations and form them into a single body that would sponsor Parliamentary candidates."
0,On which river is the Three Gorges Dam built?,"The plan is hailed by some as China's efforts to shift towards alternative energy sources and to further develop its industrial and commercial bases, but others have criticised it for its potentially harmful effects, such as massive resettlement of residents in the reservoir areas, loss of archeological sites, and ecological damages."
0,He is still known today as what?,"On 5 July 2013, Pope Francis – bypassing the traditionally required second miracle – declared John XXIII a saint, after unanimous agreement by a consistory, or meeting, of the College of Cardinals, based on the fact that he was considered to have lived a virtuous, model lifestyle, and because of the good for the Church which had come from his having opened the Second Vatican Council."
0,What happens if all wrestlers are down?,"In a Last Man Standing match, this form of a knockout is the only way that the match can end, so the referee will count when one or more wrestlers are down, and one wrestler standing up before the 10-count doesn't stop the count for another wrestler who is still down."
1,What does having sense perceptions conclude about a person?,"In this way symbolic reference is a fusion of pure sense perceptions on the one hand and causal relations on the other, and that it is in fact the causal relationships that dominate the more basic mentality (as the dog illustrates), while it is the sense perceptions which indicate a higher grade mentality (as the artist illustrates)."
0,Did 9/11 lead to more FBI oversight?,"The 9/11 Commission's final report on July 22, 2004 stated that the FBI and Central Intelligence Agency (CIA) were both partially to blame for not pursuing intelligence reports that could have prevented the September 11, 2001 attacks."
0,When did Aspar die?,"Although the movements of peoples during this period are usually described as ""invasions"", they were not just military expeditions but migrations of entire peoples into the empire."
1,Who wrote the book The Story of Tibet?,"Journalist and author Thomas Laird, in his book The Story of Tibet: Conversations with the Dalai Lama, writes that Wang and Nyima present the government viewpoint of the People's Republic of China in their Historical Status of China's Tibet, and fail to realize that China was ""absorbed into a larger, non-Chinese political unit"" during the Mongol Yuan dynasty, which Wang and Nyima paint as a characteristic Chinese dynasty succeeded by the Ming."
0,What has been the focus since 2011,"In mid 2011, the Foundation announced in its new ""Water, Sanitation, Hygiene Strategy Overview"" that its funding now focuses primarily on sanitation, particularly in sub-Saharan Africa and South Asia, because access to improved sanitation is lowest in those regions."
1,"What institute provides education in art, design, and media?","The Estonian Academy of Arts (Estonian: Eesti Kunstiakadeemia, EKA) is providing higher education in art, design, architecture, media, art history and conservation while Viljandi Culture Academy of University of Tartu has an approach to popularise native culture through such curricula as native construction, native blacksmithing, native textile design, traditional handicraft and traditional music, but also jazz and church music."
1,For whom was the revolution named?,"Although unable to resist the popular demand for the expulsion of the Spaniards, he soon quarreled with the legislature, which declared itself firmly for Guerrero, and announcing his support of Bustamante's revolution, he suspended, in March 1830, eight members of that body, the vice-governor, and several other officials, and expelled them from the state."
1,Chopin is closely associated with what era?,"In his native Poland, in France, where he composed most of his works, and beyond, Chopin's music, his status as one of music's earliest superstars, his association (if only indirect) with political insurrection, his love life and his early death have made him, in the public consciousness, a leading symbol of the Romantic era."
0,Laws were formulated in what country?,"The Laws now express dimensions with approximate metric equivalents (followed by traditional units in brackets), though use of imperial units remains popular in English-speaking countries with a relatively recent history of metrication (or only partial metrication), such as Britain."
1,Who publishes Tucson Weekly?,"Wick Communications publishes the daily legal paper The Daily Territorial, while Boulder, Colo.-based 10/13 Communications publishes Tucson Weekly (an ""alternative"" publication), Inside Tucson Business and the Explorer."
0,What problem did the Iraqi forces have?,"After nearly 50 years of proxy wars, and constant fears of another war in Europe between NATO and the Warsaw Pact, some thought the Persian Gulf War might finally answer the question of which military philosophy would have reigned supreme."
